config,betaG,psi_global,psi_pressured,psi_free
global,0.0,0.996330993878483,0.9960218855528981,nan
global,0.005,0.9965527027484642,0.9961750373626131,nan
global,0.01,0.9967779991114515,0.9963925961946339,nan
global,0.05,0.9957797269130869,0.9959239287715187,nan
global,0.1,0.9911517241523997,0.993146407273351,nan
global,0.5,0.9502701607584862,0.9761856658188613,nan
global,1.0,0.9999989728623725,0.9999989725676386,nan
subtree,0.0,0.9962307327348098,0.9960752941898944,0.9957764078267122
subtree,0.005,0.9963211049897892,0.9962378694467878,0.9958044991673978
subtree,0.01,0.9965082457393493,0.996395745775339,0.995970857589262
subtree,0.05,0.9960807426729085,0.9958276356939096,0.9958147629087194
subtree,0.1,0.9942829968589143,0.9933120713316094,0.9954141212232231
subtree,0.5,0.9812849085972443,0.9763474226260563,0.9937614843507157
subtree,1.0,0.9979634870331555,0.9999989127005566,0.995548030507217
local,0.0,0.9962544341076658,0.9961175648156108,0.9959872344885546
local,0.005,0.996260760280697,0.9963191430711937,0.9958657848413391
local,0.01,0.9963305467329683,0.9963740927639174,0.9959508151309836
local,0.05,0.9961687262258273,0.9959190332077164,0.9957293756399469
local,0.1,0.9956638983970176,0.992962526660643,0.9953624389930057
local,0.5,0.9934687764926279,0.9775648541267826,0.9939739344272756
local,1.0,0.9964444100912756,0.9999988405090278,0.9958147050772647
flat,0.0,0.9961636058133028,0.9961636058133028,nan
flat,0.005,0.9961669529020627,0.9961669529020627,nan
flat,0.01,0.9961720831463637,0.9961720831463637,nan
flat,0.05,0.9961571301683579,0.9961571301683579,nan
flat,0.1,0.9961427633197886,0.9961427633197886,nan
flat,0.5,0.9958349707285278,0.9958349707285278,nan
flat,1.0,0.9945971153784902,0.9945971153784902,nan
